view_name,view_key,rank_layer,baseline_type,metric,semantic_n_edges,semantic_mean,random_mean_mean,delta_mean,lift,z_score,bootstrap_ci_low,bootstrap_ci_high,decision
main_business_detail,46bbc3c09f1c,rank_001_005,global_random,corr_resid_full_neutral,25555,0.0025814294349402,0.0005825177158476,0.0019989117190926,4.431503737502775,1.716492333566154,0.0009919891657773,0.0043882280937395,rejected
main_business_detail,46bbc3c09f1c,rank_001_005,same_l3_random,corr_resid_full_neutral,25555,0.0025814294349402,0.0032302876655012,-0.0006488582305609,0.7991329882193924,-0.7310598390821792,0.0009919891657773,0.0043882280937395,rejected
main_business_detail,46bbc3c09f1c,rank_001_005,same_l3_same_size_random,corr_resid_full_neutral,25555,0.0025814294349402,0.1545185407996177,-0.1519371113646774,0.0167062762926803,-316.45288551889763,0.0009919891657773,0.0043882280937395,rejected
main_business_detail,46bbc3c09f1c,rank_001_005,cross_l1_random,corr_resid_full_neutral,25555,0.0025814294349402,0.0007487124897306,0.0018327169452096,3.4478247262431307,1.9061451661485729,0.0009919891657773,0.0043882280937395,rejected
main_business_detail,46bbc3c09f1c,rank_006_010,global_random,corr_resid_full_neutral,25528,0.0019631232134997,0.0005825177158476,0.0013806054976521,3.370066111454338,1.1855444789102545,0.0001722276720101,0.003557335678488,rejected
main_business_detail,46bbc3c09f1c,rank_006_010,same_l3_random,corr_resid_full_neutral,25528,0.0019631232134997,0.0032302876655012,-0.0012671644520014,0.6077239604588569,-1.4276971405138863,0.0001722276720101,0.003557335678488,rejected
main_business_detail,46bbc3c09f1c,rank_006_010,same_l3_same_size_random,corr_resid_full_neutral,25528,0.0019631232134997,0.1545185407996177,-0.1525554175861179,0.0127047744778123,-317.74068667657184,0.0001722276720101,0.003557335678488,rejected
main_business_detail,46bbc3c09f1c,rank_006_010,cross_l1_random,corr_resid_full_neutral,25528,0.0019631232134997,0.0007487124897306,0.0012144107237691,2.621998751758704,1.2630663654211252,0.0001722276720101,0.003557335678488,rejected
main_business_detail,46bbc3c09f1c,rank_011_020,global_random,corr_resid_full_neutral,51027,0.0025711327325552,0.0006290767486643,0.0019420559838909,4.087152701183886,3.006048101152013,0.0012631204910576,0.0037804727850016,supported
main_business_detail,46bbc3c09f1c,rank_011_020,same_l3_random,corr_resid_full_neutral,51027,0.0025711327325552,0.0035937022278085,-0.0010225694952532,0.7154551405677231,-2.1531319749149245,0.0012631204910576,0.0037804727850016,rejected
main_business_detail,46bbc3c09f1c,rank_011_020,same_l3_same_size_random,corr_resid_full_neutral,51027,0.0025711327325552,0.1544900694489479,-0.1519189367163926,0.0166427055261627,-362.6600312660115,0.0012631204910576,0.0037804727850016,rejected
main_business_detail,46bbc3c09f1c,rank_011_020,cross_l1_random,corr_resid_full_neutral,51027,0.0025711327325552,0.0006923588218705,0.0018787739106847,3.713584129121098,2.798131149840941,0.0012631204910576,0.0037804727850016,supported
theme_text,07a2d5b269d2,rank_001_005,global_random,corr_resid_full_neutral,25454,0.0023092681076377,0.0005825177158476,0.0017267503917901,3.9642882007075655,1.4827837473661007,0.0007058628711092,0.0039507166249677,rejected
theme_text,07a2d5b269d2,rank_001_005,same_l3_random,corr_resid_full_neutral,25454,0.0023092681076377,0.0032302876655012,-0.0009210195578634,0.7148800189841499,-1.0377003450831686,0.0007058628711092,0.0039507166249677,rejected
theme_text,07a2d5b269d2,rank_001_005,same_l3_same_size_random,corr_resid_full_neutral,25454,0.0023092681076377,0.1545185407996177,-0.1522092726919799,0.0149449256748577,-317.0197400324391,0.0007058628711092,0.0039507166249677,rejected
theme_text,07a2d5b269d2,rank_001_005,cross_l1_random,corr_resid_full_neutral,25454,0.0023092681076377,0.0007487124897306,0.0015605556179071,3.084318933251238,1.623079633412518,0.0007058628711092,0.0039507166249677,rejected
theme_text,07a2d5b269d2,rank_006_010,global_random,corr_resid_full_neutral,25440,0.0019274820806458,0.0005825177158476,0.0013449643647982,3.308881478121659,1.1549389595573805,-6.064243607397652e-05,0.0034577249200083,rejected
theme_text,07a2d5b269d2,rank_006_010,same_l3_random,corr_resid_full_neutral,25440,0.0019274820806458,0.0032302876655012,-0.0013028055848553,0.5966905366450693,-1.4678535254091976,-6.064243607397652e-05,0.0034577249200083,rejected
theme_text,07a2d5b269d2,rank_006_010,same_l3_same_size_random,corr_resid_full_neutral,25440,0.0019274820806458,0.1545185407996177,-0.1525910587189718,0.0124741152140794,-317.8149196222524,-6.064243607397652e-05,0.0034577249200083,rejected
theme_text,07a2d5b269d2,rank_006_010,cross_l1_random,corr_resid_full_neutral,25440,0.0019274820806458,0.0007487124897306,0.0011787695909152,2.5743955217568244,1.2259972624791002,-6.064243607397652e-05,0.0034577249200083,rejected
theme_text,07a2d5b269d2,rank_011_020,global_random,corr_resid_full_neutral,50863,0.0013045817613601,0.0006290767486643,0.0006755050126958,2.0738038150832123,1.0455932154255971,0.000105514153256,0.0026402984163723,rejected
theme_text,07a2d5b269d2,rank_011_020,same_l3_random,corr_resid_full_neutral,50863,0.0013045817613601,0.0035937022278085,-0.0022891204664483,0.3630188809927427,-4.819993647005383,0.000105514153256,0.0026402984163723,rejected
theme_text,07a2d5b269d2,rank_011_020,same_l3_same_size_random,corr_resid_full_neutral,50863,0.0013045817613601,0.1544900694489479,-0.1531854876875877,0.0084444376652395,-365.6835346207717,0.000105514153256,0.0026402984163723,rejected
theme_text,07a2d5b269d2,rank_011_020,cross_l1_random,corr_resid_full_neutral,50863,0.0013045817613601,0.0006923588218705,0.0006122229394896,1.8842567179770544,0.9118074654383764,0.000105514153256,0.0026402984163723,rejected
chain_text,58563ca7113f,rank_001_005,global_random,corr_resid_full_neutral,25575,0.0022736149840056,0.0005825177158476,0.001691097268158,3.903082982974065,1.452167931371025,0.000218052180935,0.0040728983585722,rejected
chain_text,58563ca7113f,rank_001_005,same_l3_random,corr_resid_full_neutral,25575,0.0022736149840056,0.0032302876655012,-0.0009566726814955,0.7038428831857375,-1.077870239826903,0.000218052180935,0.0040728983585722,rejected
chain_text,58563ca7113f,rank_001_005,same_l3_same_size_random,corr_resid_full_neutral,25575,0.0022736149840056,0.1545185407996177,-0.152244925815612,0.0147141888102228,-317.09399795237573,0.000218052180935,0.0040728983585722,rejected
chain_text,58563ca7113f,rank_001_005,cross_l1_random,corr_resid_full_neutral,25575,0.0022736149840056,0.0007487124897306,0.001524902494275,3.0366996880521877,1.5859980592790932,0.000218052180935,0.0040728983585722,rejected
chain_text,58563ca7113f,rank_006_010,global_random,corr_resid_full_neutral,25549,0.0022975327447056,0.0005825177158476,0.001715015028858,3.944142267609186,1.4727064336397666,0.0003983056965807,0.0040919328108429,rejected
chain_text,58563ca7113f,rank_006_010,same_l3_random,corr_resid_full_neutral,25549,0.0022975327447056,0.0032302876655012,-0.0009327549207955,0.7112471032356804,-1.050922420619275,0.0003983056965807,0.0040919328108429,rejected
chain_text,58563ca7113f,rank_006_010,same_l3_same_size_random,corr_resid_full_neutral,25549,0.0022975327447056,0.1545185407996177,-0.152221008054912,0.0148689777473705,-317.04418231272933,0.0003983056965807,0.0040919328108429,rejected
chain_text,58563ca7113f,rank_006_010,cross_l1_random,corr_resid_full_neutral,25549,0.0022975327447056,0.0007487124897306,0.001548820254975,3.0686448753277373,1.6108740904974137,0.0003983056965807,0.0040919328108429,rejected
chain_text,58563ca7113f,rank_011_020,global_random,corr_resid_full_neutral,51008,0.0017891755560413,0.0006290767486643,0.001160098807377,2.844129209735066,1.7956808897328518,0.0005546597400098,0.0031592487066518,rejected
chain_text,58563ca7113f,rank_011_020,same_l3_random,corr_resid_full_neutral,51008,0.0017891755560413,0.0035937022278085,-0.0018045266717672,0.4978641642027112,-3.7996283818407735,0.0005546597400098,0.0031592487066518,rejected
chain_text,58563ca7113f,rank_011_020,same_l3_same_size_random,corr_resid_full_neutral,51008,0.0017891755560413,0.1544900694489479,-0.1527008938929066,0.0115811686953286,-364.5267150396917,0.0005546597400098,0.0031592487066518,rejected
chain_text,58563ca7113f,rank_011_020,cross_l1_random,corr_resid_full_neutral,51008,0.0017891755560413,0.0006923588218705,0.0010968167341708,2.5841738409681896,1.6335318752811152,0.0005546597400098,0.0031592487066518,rejected
full_text,e7a0080f4bc8,rank_001_005,global_random,corr_resid_full_neutral,25443,0.0018730906303972,0.0005825177158476,0.0012905729145496,3.215508437664828,1.1082322908878166,0.0004811793281987,0.0036660189740359,rejected
full_text,e7a0080f4bc8,rank_001_005,same_l3_random,corr_resid_full_neutral,25443,0.0018730906303972,0.0032302876655012,-0.0013571970351039,0.5798525779612196,-1.5291356406593233,0.0004811793281987,0.0036660189740359,rejected
full_text,e7a0080f4bc8,rank_001_005,same_l3_same_size_random,corr_resid_full_neutral,25443,0.0018730906303972,0.1545185407996177,-0.1526454501692205,0.0121221092349445,-317.9282055155022,0.0004811793281987,0.0036660189740359,rejected
full_text,e7a0080f4bc8,rank_001_005,cross_l1_random,corr_resid_full_neutral,25443,0.0018730906303972,0.0007487124897306,0.0011243781406666,2.5017488770237715,1.16942660641446,0.0004811793281987,0.0036660189740359,rejected
full_text,e7a0080f4bc8,rank_006_010,global_random,corr_resid_full_neutral,25387,0.0023890559095889,0.0005825177158476,0.0018065381937413,4.101258802254119,1.55129860425205,0.0001244502447661,0.0046141677070409,rejected
full_text,e7a0080f4bc8,rank_006_010,same_l3_random,corr_resid_full_neutral,25387,0.0023890559095889,0.0032302876655012,-0.0008412317559122,0.7395799250647406,-0.9478045020348138,0.0001244502447661,0.0046141677070409,rejected
full_text,e7a0080f4bc8,rank_006_010,same_l3_same_size_random,corr_resid_full_neutral,25387,0.0023890559095889,0.1545185407996177,-0.1521294848900287,0.0154612896111095,-316.8535589070387,0.0001244502447661,0.0046141677070409,rejected
full_text,e7a0080f4bc8,rank_006_010,cross_l1_random,corr_resid_full_neutral,25387,0.0023890559095889,0.0007487124897306,0.0016403434198583,3.190885610107236,1.706064151782564,0.0001244502447661,0.0046141677070409,rejected
full_text,e7a0080f4bc8,rank_011_020,global_random,corr_resid_full_neutral,50764,0.0011039985110983,0.0006290767486643,0.000474921762434,1.7549504308375925,0.7351166361848394,-0.0002169631399738,0.0025626807939261,rejected
full_text,e7a0080f4bc8,rank_011_020,same_l3_random,corr_resid_full_neutral,50764,0.0011039985110983,0.0035937022278085,-0.0024897037167101,0.3072036693957145,-5.242343630821579,-0.0002169631399738,0.0025626807939261,rejected
full_text,e7a0080f4bc8,rank_011_020,same_l3_same_size_random,corr_resid_full_neutral,50764,0.0011039985110983,0.1544900694489479,-0.1533860709378495,0.0071460807483366,-366.16236582762247,-0.0002169631399738,0.0025626807939261,rejected
full_text,e7a0080f4bc8,rank_011_020,cross_l1_random,corr_resid_full_neutral,50764,0.0011039985110983,0.0006923588218705,0.0004116396892278,1.5945467526733113,0.6130710195562645,-0.0002169631399738,0.0025626807939261,rejected
